NCID,NameC,NameE,NameF,Pinyin,PYA,Strokes,Description,ICF2,IDF2,TF2,MAX2,Boy,Girl,ScoreC,ScoreMax,ScoreAvg,ScoreMin,ScoreStd,IsFree
2409,佳奇,佳,奇,Jia Qi,JQ,16,诗词，佳人奇士出燕山。,472,1723,22333,2489,0.7077,0.2923,82,96,89,79,4.839,101
2895,恩泽,恩,泽,En Ze,EZ,18,诗词，后庭玉树承恩泽。,457,1720,19159,1366,0.9546,0.0454,79,95,82,75,4.6611,100
2162,思齐,思,齐,Si Qi,SQ,15,成语，见贤思齐。,458,1698,24831,2113,0.6212,0.3788,80,96,87,78,4.8364,101
3439,宇星,宇,星,Yu Xing,YX,15,诗词，碧宇星回夜漫漫。,421,1694,16341,981,0.8384,0.1616,81,96,87,79,5.071,101
3572,清源,清,源,Qing Yuan,QY,24,成语，正本清源。,386,1684,15773,1248,0.8093,0.1907,81,96,88,79,4.952,100
2318,一博,一,博,Yi Bo,YB,13,诗词，一春博得几开颜。,464,1683,23271,4435,0.8612,0.1388,81,96,88,77,5.2221,101
3401,文昊,文,昊,Wen Hao,WH,12,诗词，人文自昔先牺昊。,451,1668,16490,1328,0.9176,0.0824,80,96,87,79,4.8942,101
2758,思成,思,成,Si Cheng,SC,15,诗词，绥我思成。,430,1665,19917,1737,0.9229,0.0771,81,96,88,78,5.248,100
4389,云霄,云,霄,Yun Xiao,YX,19,诗词，天长草树接云霄。,463,1660,13026,859,0.5266,0.4734,79,95,82,75,4.5667,100
3190,彦博,彦,博,Yan Bo,YB,21,诗词，万姓每思文彦博。,394,1658,17492,2441,0.8602,0.1398,81,96,88,79,4.9875,101
3412,宇宁,宇,宁,Yu Ning,YN,11,诗词，鸿鹄高飞万宇宁。,407,1653,16429,1198,0.6357,0.3643,81,96,89,80,5.0393,101
2867,宇辰,宇,辰,Yu Chen,YC,13,诗词，宇阔星辰大。,457,1650,19341,1500,0.7071,0.2929,81,96,88,79,4.8225,101
2705,晨旭,晨,旭,Chen Xu,CX,17,诗词，清音爱晨旭。,441,1648,20287,3777,0.7471,0.2529,80,96,83,77,4.8886,101
3205,宇晨,宇,晨,Yu Chen,YC,17,诗词，晴宇晨鸣八面风。,479,1646,17407,1395,0.5865,0.4135,81,96,88,79,4.7842,101
2937,浩洋,浩,洋,Hao Yang,HY,19,诗词，碧波千顷浩汪洋。,430,1637,18947,1144,0.9498,0.0502,81,96,87,79,5.0012,101
3044,卓然,卓,然,Zhuo Ran,ZR,20,诗词，卓然独立妙明生。,453,1636,18295,2316,0.5066,0.4934,78,95,81,75,4.8125,100
3032,佳豪,佳,豪,Jia Hao,JH,22,诗词，佳句百篇豪。,487,1631,18381,1524,0.9126,0.0874,82,96,88,79,5.1146,101
2984,晨宇,晨,宇,Chen Yu,CY,17,诗词，拂晨天宇净。,455,1615,18634,3482,0.7329,0.2671,83,96,88,79,4.9873,101
3227,宇恒,宇,恒,Yu Heng,YH,15,诗词，但愿四宇恒升平。,434,1597,17260,1122,0.9146,0.0854,80,96,87,80,5.0177,100
4367,文康,文,康,Wen Kang,WK,15,诗词，文景之世比成康。,425,1596,13094,755,0.954,0.046,79,96,86,77,4.9074,101
2235,家铭,家,铭,Jia Ming,JM,21,诗词，传家鼎有铭。,419,1594,24063,4822,0.9466,0.0534,81,96,89,79,4.9601,101
3261,天昊,天,昊,Tian Hao,TH,12,诗词，天昊移海。,474,1587,17076,1916,0.9668,0.0332,80,96,86,78,4.9526,100
4127,雨田,雨,田,Yu Tian,YT,13,诗词，雨田自种晴田收。,403,1582,13743,1316,0.5879,0.4121,79,96,86,78,4.8991,101
3353,子扬,子,扬,Zi Yang,ZY,9,诗词，子之清扬。,433,1580,16696,1661,0.8527,0.1473,80,96,88,79,4.893,100
3317,思奇,思,奇,Si Qi,SQ,17,诗词，巧思奇构极匠心。,450,1578,16804,1773,0.7616,0.2384,81,96,88,79,5.1111,101
3716,天浩,天,浩,Tian Hao,TH,14,诗词，九重天浩荡。,471,1578,15212,978,0.9852,0.0148,81,96,87,78,5.0491,101
3565,鸿宇,鸿,宇,Hong Yu,HY,17,诗词，鸿鹄高飞万宇宁。,436,1562,15807,952,0.8611,0.1389,83,96,89,79,4.7298,101
3923,金铭,金,铭,Jin Ming,JM,19,诗词，金石遗文证鼎铭。,412,1561,14476,1262,0.8248,0.1752,81,96,88,80,4.9542,100
2011,子墨,子,墨,Zi Mo,ZM,18,诗词，子墨文章应满箧。,531,1557,26392,1799,0.6174,0.3826,74,95,83,76,4.0207,100
3376,佳宇,佳,宇,Jia Yu,JY,14,诗词，佳名表栋宇。,453,1541,16613,1266,0.5768,0.4232,84,96,90,80,4.7414,101
3430,嘉铭,嘉,铭,Jia Ming,JM,25,诗词，只有忠嘉可篆铭。,432,1523,16380,1102,0.828,0.172,82,96,89,80,4.8504,101
4131,文卓,文,卓,Wen Zhuo,WZ,12,诗词，郁文卓越。,411,1512,13773,1444,0.6193,0.3807,77,96,84,78,4.4717,101
4875,雨林,雨,林,Yu Lin,YL,16,诗词，湛然风雨林。,460,1511,11768,617,0.6546,0.3454,83,95,85,73,5.6773,101
3182,逸轩,逸,轩,Yi Xuan,YX,18,诗词，逸气轩昂。,479,1507,17517,1241,0.7642,0.2358,82,96,88,79,4.588,101
4060,宇浩,宇,浩,Yu Hao,YH,16,诗词，天宇浩无际。,446,1502,14029,835,0.9734,0.0266,82,96,88,79,4.8444,101
4157,天泽,天,泽,Tian Ze,TZ,12,诗词，雨露将天泽。,437,1491,13726,1138,0.9515,0.0485,80,95,85,77,4.9216,101
2754,子航,子,航,Zi Hang,ZH,13,诗词，客子泛归航。,468,1486,19934,1044,0.8811,0.1189,79,96,85,78,4.9751,101
3558,子浩,子,浩,Zi Hao,ZH,13,诗词，孟子养浩然。,466,1486,15822,1325,0.9789,0.0211,81,96,88,79,4.9385,100
3714,浩翔,浩,翔,Hao Xiang,HX,22,诗词，玉宇凭虚浩浩翔。,405,1485,15235,1016,0.9823,0.0177,81,96,86,79,4.9905,101
3978,新雨,新,雨,Xin Yu,XY,21,诗词，空山新雨后。,464,1483,14253,1502,0.6583,0.3417,81,96,88,78,4.727,101
4903,文翔,文,翔,Wen Xiang,WX,16,诗词，文思高若翔。,388,1478,11756,784,0.9037,0.0963,81,96,88,79,4.9465,101
2472,一铭,一,铭,Yi Ming,YM,12,诗词，一字廉真座右铭。,444,1474,21859,1779,0.8749,0.1251,81,96,89,79,4.827,101
3749,一航,一,航,Yi Hang,YH,11,诗词，曲港长桥呼一航。,446,1466,15038,786,0.8379,0.1621,79,96,87,77,5.298,101
3394,子翔,子,翔,Zi Xiang,ZX,15,诗词，望子翔青霄。,438,1461,16488,1542,0.945,0.055,81,96,88,78,5.0365,101
4523,宇凡,宇,凡,Yu Fan,YF,9,成语，气宇不凡。,455,1451,12722,743,0.6403,0.3597,81,96,88,79,4.9662,101
4047,睿智,睿,智,Rui Zhi,RZ,26,诗词，聪明睿智。,405,1450,14074,1193,0.8081,0.1919,80,96,84,78,4.5851,101
4599,凌宇,凌,宇,Ling Yu,LY,16,诗词，当时意气凌寰宇。,387,1446,12519,970,0.6598,0.3402,83,96,88,79,4.8516,101
4843,志轩,志,轩,Zhi Xuan,ZX,14,诗词，男儿立志要轩昂。,409,1433,11870,780,0.8753,0.1247,82,96,89,80,4.8048,101
6111,开宇,开,宇,Kai Yu,KY,10,诗词，云开天宇静。,363,1431,9617,754,0.9043,0.0957,82,96,88,77,4.9777,100
4170,俊逸,俊,逸,Jun Yi,JY,20,成语，清新俊逸。,402,1423,13705,1212,0.679,0.321,81,96,88,79,4.6033,101
4710,天雨,天,雨,Tian Yu,TY,12,诗词，天雨新霁后。,486,1418,12126,808,0.748,0.252,81,96,87,77,4.9981,100
3424,一然,一,然,Yi Ran,YR,13,诗词，一时才气超然。,453,1417,16404,3636,0.5902,0.4098,79,96,88,77,5.3554,101
2999,浩轩,浩,轩,Hao Xuan,HX,17,诗词，忽然浩叹声轩昂。,450,1415,18570,1127,0.9511,0.0489,81,96,87,80,5.0998,101
3172,皓天,皓,天,Hao Tian,HT,16,诗词，皓天舒白日。,435,1415,17572,1528,0.9065,0.0935,78,96,84,78,4.4039,101
5785,天豪,天,豪,Tian Hao,TH,18,成语，天下豪杰。,416,1413,10110,643,0.9848,0.0152,81,96,88,79,4.9643,101
4691,诗文,诗,文,Shi Wen,SW,12,诗词，闲中对酒论诗文。,379,1406,12242,1164,0.6774,0.3226,82,96,88,78,5.142,101
3612,明泽,明,泽,Ming Ze,MZ,16,诗词，山明新雨泽。,383,1397,15483,3521,0.9255,0.0745,80,96,87,78,5.1941,100
4683,云帆,云,帆,Yun Fan,YF,10,诗词，直挂云帆济沧海。,418,1394,12240,1414,0.5948,0.4052,78,96,84,77,4.7886,101
4702,扬帆,扬,帆,Yang Fan,YF,12,成语，扬帆远航。,403,1390,12200,957,0.7389,0.2611,77,92,78,74,3.5147,101
6267,文翰,文,翰,Wen Han,WH,20,诗词，翩翩理文翰。,376,1389,9406,652,0.8979,0.1021,80,96,87,78,4.7125,101
5332,心宇,心,宇,Xin Yu,XY,10,诗词，心宇今无一点尘。,408,1387,10933,877,0.7002,0.2998,83,96,89,79,4.5986,101
3887,佳星,佳,星,Jia Xing,JX,17,诗词，佳客如晨星。,408,1385,14595,1500,0.6036,0.3964,81,96,88,79,4.9684,101
2662,皓然,皓,然,Hao Ran,HR,24,诗词，淮上飞花正皓然。,432,1367,20539,4060,0.6879,0.3121,79,96,85,78,4.5794,101
4337,冠杰,冠,杰,Guan Jie,GJ,17,诗词，冠绝群峰最杰英。,350,1365,13181,1405,0.897,0.103,81,96,86,78,4.6814,11
3122,子铭,子,铭,Zi Ming,ZM,14,诗词，劝深子玉铭。,415,1356,17894,2873,0.9093,0.0907,81,96,89,79,4.8765,101
4100,雨泽,雨,泽,Yu Ze,YZ,16,诗词，雨泽感天时。,466,1355,13861,2161,0.7344,0.2656,81,96,86,78,5.278,101
6112,云浩,云,浩,Yun Hao,YH,14,诗词，白云浩如海。,386,1349,9616,687,0.9634,0.0366,81,96,88,79,5.0278,101
3643,浩源,浩,源,Hao Yuan,HY,23,诗词，浩浩源头活水生。,360,1342,15510,2007,0.9663,0.0337,81,96,88,79,4.9458,101
3829,嘉成,嘉,成,Jia Cheng,JC,20,诗词，嘉树自成蹊。,422,1340,14752,3145,0.9497,0.0503,82,96,89,79,4.8955,100
4518,浩博,浩,博,Hao Bo,HB,22,诗词，浩博横万卷。,407,1326,12734,1213,0.9664,0.0336,81,96,87,79,5.0303,101
5514,金宇,金,宇,Jin Yu,JY,14,诗词，金风玉宇秋无边。,365,1317,10618,845,0.7349,0.2651,83,96,90,78,4.5896,100
3756,星雨,星,雨,Xing Yu,XY,17,诗词，南山北望流星雨。,498,1313,14999,4064,0.6402,0.3598,81,95,82,73,5.0328,101
6533,晨星,晨,星,Chen Xing,CX,20,成语，寥若晨星。,404,1312,9036,628,0.754,0.246,80,93,81,74,4.864,101
5331,昊然,昊,然,Hao Ran,HR,20,诗词，少昊行秋尚炽然。,424,1304,10964,916,0.7901,0.2099,79,96,85,78,4.6259,101
5454,泽阳,泽,阳,Ze Yang,ZY,14,诗词，达则惠泽如阳春。,384,1297,10711,1006,0.9129,0.0871,81,96,88,80,4.8865,100
4470,皓宇,皓,宇,Hao Yu,HY,18,诗词，皓色恍疑霄宇接。,397,1296,12867,1146,0.863,0.137,83,96,88,79,4.7705,11
5413,嘉瑞,嘉,瑞,Jia Rui,JR,27,诗词，五色传嘉瑞。,400,1295,10796,971,0.6798,0.3202,82,96,89,79,4.8849,101
5417,泽浩,泽,浩,Ze Hao,ZH,18,诗词，彭泽烟波真浩淼。,382,1291,10798,920,0.989,0.011,81,96,87,79,5.019,101
3659,子皓,子,皓,Zi Hao,ZH,15,诗词，俨若子房从四皓。,418,1289,15457,1534,0.9286,0.0714,80,96,88,79,4.7126,101
6657,成宇,成,宇,Cheng Yu,CY,12,诗词，化成寰宇。,369,1288,8893,654,0.9078,0.0922,83,96,90,79,4.757,101
5123,博闻,博,闻,Bo Wen,BW,21,成语，博闻强志。,358,1286,11334,1187,0.8051,0.1949,77,96,83,78,3.6814,101
6253,清扬,清,扬,Qing Yang,QY,17,诗词，婉如清扬。,411,1279,9426,698,0.7352,0.2648,80,95,82,74,4.9081,100
4774,雨阳,雨,阳,Yu Yang,YY,14,诗词，雨后复斜阳。,404,1274,11972,1488,0.5225,0.4775,82,96,89,78,4.7568,101
5506,文睿,文,睿,Wen Rui,WR,18,诗词，远胜文思睿藻。,377,1270,10631,797,0.5688,0.4312,80,96,88,79,4.8839,101
5452,泽霖,泽,霖,Ze Lin,ZL,24,诗词，恩泽沛若霖。,351,1254,10715,888,0.8766,0.1234,81,96,87,80,4.9134,101
2819,瀚文,瀚,文,Han Wen,HW,23,诗词，文江浩瀚凌班马。,373,1247,19606,6347,0.8578,0.1422,81,96,85,78,4.5837,2
5980,家浩,家,浩,Jia Hao,JH,20,诗词，万点白鸥家浩渺。,372,1236,9805,1050,0.988,0.012,81,96,89,79,4.7772,101
5903,嘉骏,嘉,骏,Jia Jun,JJ,24,诗词，嘉彼骏逸。,340,1234,9939,487,0.9243,0.0757,81,96,88,80,4.5647,100
5704,家宇,家,宇,Jia Yu,JY,16,诗词，汉家天宇阔。,360,1225,10270,685,0.9125,0.0875,83,96,90,79,4.4583,101
6849,文熙,文,熙,Wen Xi,WX,18,诗词，文德熙淳懿。,355,1222,8680,598,0.6832,0.3168,80,96,89,79,4.8755,101
5971,泽源,泽,源,Ze Yuan,ZY,21,诗词，名门德泽源流远。,353,1219,9817,745,0.9447,0.0553,81,96,88,80,4.9874,101
7562,天羽,天,羽,Tian Yu,TY,10,诗词，少展垂天羽。,414,1217,7880,591,0.5808,0.4192,82,96,88,78,5.0194,101
3851,浩铭,浩,铭,Hao Ming,HM,21,诗词，浩言永堪铭。,370,1216,14681,1617,0.9701,0.0299,81,96,88,80,4.8837,101
4583,子博,子,博,Zi Bo,ZB,15,诗词，君子博文。,375,1212,12561,959,0.8989,0.1011,81,96,88,79,5.0063,101
8304,毅然,毅,然,Yi Ran,YR,27,成语，毅然决然。,365,1212,7239,464,0.6939,0.3061,79,96,87,79,4.517,100
6001,嘉宇,嘉,宇,Jia Yu,JY,20,诗词，嘉树风生玉宇香。,377,1207,9774,681,0.7392,0.2608,84,96,90,80,4.2845,101
6778,文瀚,文,瀚,Wen Han,WH,23,诗词，奇文方浩瀚。,326,1202,8744,898,0.9103,0.0897,79,96,86,78,4.3934,100
4303,镇宇,镇,宇,Zhen Yu,ZY,21,诗词，屹立镇宇宙。,342,1199,13284,2237,0.9438,0.0562,82,96,87,78,4.5976,101
5655,沛霖,沛,霖,Pei Lin,PL,23,诗词，早沛甘霖遍八方。,295,1196,10355,1586,0.6869,0.3131,80,96,84,77,4.6181,101
6607,浩瀚,浩,瀚,Hao Han,HH,29,成语，浩瀚无垠。,390,1195,8963,571,0.9836,0.0164,79,96,84,78,4.335,100
6215,佳瑞,佳,瑞,Jia Rui,JR,21,诗词，纷纷雪片呈佳瑞。,409,1191,9470,687,0.5052,0.4948,82,96,89,79,4.9487,101
6653,文洋,文,洋,Wen Yang,WY,13,诗词，舞文自洋洋。,351,1187,8897,736,0.7615,0.2385,81,96,89,78,4.8243,101
8349,文骏,文,骏,Wen Jun,WJ,14,诗词，文名忆骏驰。,318,1179,7216,279,0.9329,0.0671,80,96,88,79,4.4773,11
8651,云轩,云,轩,Yun Xuan,YX,11,诗词，云江月上轩。,385,1178,6962,388,0.7731,0.2269,81,96,86,77,5.4527,101
7532,泽洋,泽,洋,Ze Yang,ZY,17,诗词，惠泽恒汪洋。,362,1176,7924,555,0.9186,0.0814,81,96,87,79,4.9863,101
7080,雨飞,雨,飞,Yu Fei,YF,11,诗词，一片春帆带雨飞。,425,1175,8382,492,0.5384,0.4616,82,96,89,79,4.4574,101
4554,轩宇,轩,宇,Xuan Yu,XY,13,成语，气宇轩昂。,393,1167,12639,1186,0.8744,0.1256,82,96,87,79,4.7683,101
4449,雨航,雨,航,Yu Hang,YH,18,诗词，蓑笠悠悠一雨航。,393,1165,12912,1878,0.599,0.401,80,96,87,79,4.8276,101
3744,铭轩,铭,轩,Ming Xuan,MX,18,诗词，铭轩共幽独。,424,1150,15072,2148,0.8405,0.1595,81,96,87,79,4.9401,101
5520,子越,子,越,Zi Yue,ZY,15,诗词，之子越中俊。,357,1144,10594,632,0.6997,0.3003,78,96,88,78,4.6007,101
8431,泽雨,泽,雨,Ze Yu,ZY,16,诗词，梦泽蒹葭楚雨深。,382,1142,7139,568,0.8002,0.1998,81,96,88,79,4.9667,101
6821,哲文,哲,文,Zhe Wen,ZW,14,诗词，浚哲文思。,319,1139,8697,466,0.8919,0.1081,81,95,86,78,4.8266,100
6140,涵宇,涵,宇,Han Yu,HY,17,诗词，万顷流光涵玉宇。,371,1135,9587,893,0.5674,0.4326,83,96,89,79,4.7213,101
6076,政宇,政,宇,Zheng Yu,ZY,15,诗词，政自生同宇。,338,1133,9666,1058,0.9419,0.0581,83,96,88,80,4.7899,101
8132,晨浩,晨,浩,Chen Hao,CH,21,诗词，长乐烟光晨浩荡。,365,1133,7391,731,0.9558,0.0442,81,96,87,79,4.9017,101
4400,皓文,皓,文,Hao Wen,HW,16,诗词，几人皓首谈雄文。,354,1128,13047,1417,0.8519,0.1481,82,96,87,79,4.8868,11
